year,izena,talde_izena,kategoria,denbora,kalea,tanda,tanda_posizioa,puntuazioa,posizioa,0_ziaboga,1_ziaboga,2_ziaboga,1_ziaboga,2_ziaboga
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Kaiku,,"21:34,24",1,2,4,2,11,05:01,10:42,16:02,10:42,16:02
2022,XXXVII. El Correo Ikurriña - Kutxabank SN - Lekeitioko Udala,Itsasoko ama,,"21:38,88",1,1,4,1,12,05:03,10:40,16:08,10:40,16:08
2022,Hondarribiko XXXV. Bandera Mapfre SN,Urdaibai,,"19:46,04",4,3,1,12,1,04:46,09:43,14:49,09:43,14:49
2022,Hondarribiko XXXV. Bandera Mapfre SN,Hondarribia,,"19:53,70",3,3,2,11,2,04:49,09:49,14:56,09:49,14:56
2022,Hondarribiko XXXV. Bandera Mapfre SN,Donostiarra,,"20:00,22",1,3,3,10,3,04:47,09:50,14:59,09:50,14:59
2022,Hondarribiko XXXV. Bandera Mapfre SN,Getaria,,"20:02,78",4,2,1,9,4,04:55,09:50,15:08,09:50,15:08
2022,Hondarribiko XXXV. Bandera Mapfre SN,Orio,,"20:04,98",2,3,4,8,5,04:49,09:54,15:07,09:54,15:07
2022,Hondarribiko XXXV. Bandera Mapfre SN,Ondarroa,,"20:14,04",4,1,1,7,6,04:57,09:54,15:16,09:54,15:16
2022,Hondarribiko XXXV. Bandera Mapfre SN,Isuntza,,"20:16,04",2,1,2,6,7,04:58,09:59,15:19,09:59,15:19
2022,Hondarribiko XXXV. Bandera Mapfre SN,Cabo,,"20:16,20",3,2,2,5,8,04:56,09:55,15:15,09:55,15:15
2022,Hondarribiko XXXV. Bandera Mapfre SN,Zierbena,,"20:17,32",2,2,3,4,9,04:53,09:55,15:16,09:55,15:16
2022,Hondarribiko XXXV. Bandera Mapfre SN,Kaiku,,"20:19,74",1,2,4,3,10,04:53,10:00,15:18,10:00,15:18
2022,Hondarribiko XXXV. Bandera Mapfre SN,Ares,,"20:27,00",1,1,3,2,11,04:56,09:59,15:22,09:59,15:22
2022,Hondarribiko XXXV. Bandera Mapfre SN,Itsasoko ama,,"20:27,48",3,1,4,1,12,04:58,09:58,15:23,09:58,15:23
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Urdaibai,,"20:26,50",3,3,1,12,1,04:53,10:03,15:15,10:03,15:15
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Orio,,"20:33,64",1,2,1,11,2,04:46,10:04,15:20,10:04,15:20
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Donostiarra,,"20:41,56",4,3,2,10,3,04:55,10:09,15:27,10:09,15:27
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Itsasoko ama,,"20:49,91",3,1,1,9,4,04:45,10:12,15:21,10:12,15:21
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Kaiku,,"20:52,19",4,1,2,8,5,04:48,10:17,15:24,10:17,15:24
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Isuntza,,"20:57,58",2,2,2,7,6,04:52,10:17,15:40,10:17,15:40
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Getaria,,"20:59,84",2,3,3,6,7,05:01,10:19,15:44,10:19,15:44
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Cabo,,"21:00,54",3,2,3,5,8,04:57,10:26,15:46,10:26,15:46
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Ondarroa,,"21:01,04",4,2,4,4,9,04:52,10:20,15:41,10:20,15:41
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Hondarribia,,"21:01,98",1,3,4,3,10,04:52,10:36,15:53,10:36,15:53
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Zierbena,,"21:08,77",2,1,3,2,11,04:48,10:20,15:33,10:20,15:33
2022,XIII. Getariako Ikurriña - 500. Urteurrena Saria,Ares,,"21:45,69",1,1,4,1,12,04:51,10:54,16:09,10:54,16:09
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Ondarroa,,"19:57,94",3,1,1,12,1,04:50,09:50,14:59,09:50,14:59
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Cabo,,"19:59,40",4,1,2,11,2,04:54,09:56,15:04,09:56,15:04
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Urdaibai,,"20:03,36",1,3,1,10,3,04:50,09:53,15:03,09:53,15:03
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Hondarribia,,"20:07,24",4,3,2,9,4,04:53,09:54,15:07,09:54,15:07
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Itsasoko ama,,"20:09,80",2,1,3,8,5,04:49,09:54,15:06,09:54,15:06
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Ares,,"20:13,22",1,1,4,7,6,04:50,09:54,15:07,09:54,15:07
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Donostiarra,,"20:19,62",2,3,3,6,7,04:53,09:56,15:11,09:56,15:11
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Orio,,"20:20,74",3,3,4,5,8,04:52,10:00,15:15,10:00,15:15
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Getaria,,"20:21,86",1,2,1,4,9,04:54,10:02,15:19,10:02,15:19
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Zierbena,,"20:24,68",4,2,2,3,10,04:54,10:02,15:18,10:02,15:18
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Kaiku,,"20:25,66",2,2,3,2,11,04:54,10:01,15:15,10:01,15:15
2022,XXXVIII Ondarroako Bandera-Cikautxo SN,Isuntza,,"20:29,62",3,2,4,1,12,04:55,10:04,15:21,10:04,15:21
2022,X. Bandera CaixaBank,Hondarribia,,"20:30,74",1,3,1,12,1,05:08,10:09,15:37,10:09,15:37
2022,X. Bandera CaixaBank,Urdaibai,,"20:36,04",2,3,2,11,2,05:11,10:12,15:45,10:12,15:45
2022,X. Bandera CaixaBank,Donostiarra,,"20:36,78",3,2,1,10,3,05:05,10:06,15:39,10:06,15:39
2022,X. Bandera CaixaBank,Orio,,"20:45,18",4,2,2,9,4,05:09,10:16,15:48,10:16,15:48
2022,X. Bandera CaixaBank,Getaria,,"20:54,04",1,1,1,8,5,05:07,10:19,15:49,10:19,15:49
2022,X. Bandera CaixaBank,Itsasoko ama,,"20:54,48",1,2,3,7,6,05:12,10:19,15:56,10:19,15:56
2022,X. Bandera CaixaBank,Zierbena,,"20:56,62",2,1,2,6,7,05:11,10:22,15:49,10:22,15:49
2022,X. Bandera CaixaBank,Ondarroa,,"21:03,44",3,3,3,5,8,05:16,10:21,15:59,10:21,15:59
2022,X. Bandera CaixaBank,Kaiku,,"21:07,72",4,1,3,4,9,05:12,10:28,15:58,10:28,15:58
2022,X. Bandera CaixaBank,Cabo,,"21:08,04",4,3,4,3,10,05:19,10:31,16:08,10:31,16:08
2022,X. Bandera CaixaBank,Ares,,"21:12,76",2,2,4,2,11,05:11,10:19,16:05,10:19,16:05
2022,X. Bandera CaixaBank,Isuntza,,"21:14,76",3,1,4,1,12,05:11,10:28,16:05,10:28,16:05
2022,XLV Zarauzko IkurriñaJ1,Urdaibai,,"20:39,88",4,3,1,12,1,05:07,10:15,15:37,10:15,15:37
2022,XLV Zarauzko IkurriñaJ1,Hondarribia,,"20:43,24",3,3,2,11,2,05:05,10:14,15:38,10:14,15:38
2022,XLV Zarauzko IkurriñaJ1,Orio,,"20:43,40",1,3,3,10,3,05:05,10:06,15:31,10:06,15:31
2022,XLV Zarauzko IkurriñaJ1,Donostiarra,,"20:51,06",2,3,4,9,4,05:03,10:14,15:39,10:14,15:39
2022,XLV Zarauzko IkurriñaJ1,Zierbena,,"21:00,64",4,2,1,8,5,05:11,10:22,15:52,10:22,15:52
2022,XLV Zarauzko IkurriñaJ1,Getaria,,"21:10,50",2,2,2,7,6,05:10,10:27,16:03,10:27,16:03
2022,XLV Zarauzko IkurriñaJ1,Ondarroa,,"21:14,40",2,1,1,6,7,05:15,10:25,16:06,10:25,16:06
2022,XLV Zarauzko IkurriñaJ1,Isuntza,,"21:25,24",3,1,2,5,8,05:17,10:30,16:10,10:30,16:10
2022,XLV Zarauzko IkurriñaJ1,Cabo,,"21:30,26",1,2,3,4,9,05:14,10:37,16:14,10:37,16:14
